user_id,parent_asin,datetime,rating,title,text,session_interaction_count,time_delta_seconds,is_returned
AE24FFSUQHE3J6NYBICB7V2WHUAA,B008X1G0OS,25:35.0,4,Buy Two Than Switch Key Holders,"I purchased two (one as a potential gift), but I felt the need to take off the large key holder of the second key chain, and replace the thin little circle connecting the other end of the first key chain (with the stronger key holder), so it is less likely to break and lose my keys.<br /><br />It's a very good key chain (I'd buy them again), but I suggest buying two to make that, key holder, switch so at least one key chain is strong and dependable.",1,-1,0
AE24FFSUQHE3J6NYBICB7V2WHUAA,B002QSTHEE,30:27.0,4,Well Made,I've had this bracelet for over a year and it's still holding up very nicely.,2,30251092,0
AE24FFSUQHE3J6NYBICB7V2WHUAA,B0B9R7L1LC,06:39.0,2,The earrings themselves are beautiful but the gold-plating must have nickel in it because ...,The earrings themselves are beautiful but the gold-plating must have nickel in it because my ears started throbbing and I knew it would get worse so I return them.,3,20453772,1
AE2BLXPEH643OUNYUROLEJOHCMWQ,B07DWRT2C5,47:03.5,2,Disappointed in the color,"The photo makes it look like it will be a pale pink, black and white scarf. What actually came was a light beige, black and white scarf. It's not as cute as it is in the photo. The colors are dull. The fabric and size was nice, but the coloring is not going to work for the outfit I purchased it to go with, So I plan to return it.",1,-1,1
AE2BLXPEH643OUNYUROLEJOHCMWQ,B07PN9SFKS,51:48.0,4,Cute little romper,"This is a cute little romper. Usually Amazon clothing tends to run a bit small, so when I looked at the sizing, I assumed a size down. But, I do think the specs it noted with the small being about a size 4-6 are accurate. My daughter is 4'11"" and 90 lbs and usually wears between a 00-2 depending on the outfit. This outfit was really large on her. The arms are a bit more open and hang more than I would like. It has a tie in the back. I think the thing I wasn't expecting is that it was a one piece instead of shorts and a top. The only tag on it says it is 100% polyester. It does feel like it is a stretchy polyester material. It is soft and it is a really cute outfit. I would recommend.",2,1526684.507,0
AE2BLXPEH643OUNYUROLEJOHCMWQ,B089W4J2FB,21:50.9,2,"Fit is great, but can't get rid of the smell","I have washed this bra four times and no matter what I do, I cannot get rid of the terrible smell. I wish it was just a chemical smell, but it's much worse than that. I am sad about this because it is actually very well made and fits very nicely. I'm not sure if it is just this bra, or if they all come with the smell. But, it is enough that I cannot recommend it.",3,19704602.85,0
AE2TA5GQH4JI5RQ4W5H5PQOVYBGA,B07MJR7PWZ,42:11.3,4,Beautiful color and fabric!,Love it!,1,-1,0
AE2TA5GQH4JI5RQ4W5H5PQOVYBGA,B097Q317ZL,24:09.3,2,MUCH SMALLER THAN CHART,GREAT STYLE - MUCH SMALLER THAN CHART,2,30930118.02,0
AE2TA5GQH4JI5RQ4W5H5PQOVYBGA,B09BMWT4RJ,56:59.4,3,Runs large,"Nice quality, but was worn n dirty when received.",3,1585970.051,0
AE2TA5GQH4JI5RQ4W5H5PQOVYBGA,B088GYQ3MW,55:28.1,5,GREAT QUALITY AND PRICE,GREAT QUALITY AND PRICE,4,208708.779,0
